iter	Passed	Remaining
0	1	111
1	2	106
2	3	104
3	4	98
4	5	96
5	6	95
6	7	96
7	8	100
8	10	109
9	12	110
10	13	111
11	14	108
12	15	106
13	16	103
14	17	100
15	18	97
16	19	94
17	20	92
18	20	89
19	21	87
20	22	86
21	24	87
22	26	87
23	27	86
24	28	85
25	29	83
26	30	81
27	31	79
28	31	77
29	32	75
30	33	74
31	34	72
32	34	71
33	35	69
34	36	68
35	37	67
36	39	66
37	40	66
38	42	66
39	43	65
40	44	64
41	44	61
42	45	60
43	46	59
44	47	57
45	48	56
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	55	49
53	56	48
54	57	47
55	58	46
56	59	44
57	60	43
58	61	42
59	61	41
60	62	40
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	29
72	75	27
73	76	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	86	16
84	87	15
85	88	14
86	89	13
87	89	12
88	90	11
89	91	10
90	92	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	99	2
98	100	1
99	101	0
